[2026-07-01 07:56:49] ALLOWED | System Idle Process | 172.20.10.2:63562 -> 150.171.73.16:443
[2026-07-01 07:56:49] ALLOWED | svchost.exe | 172.20.10.2:49414 -> 4.213.25.240:443
[2026-07-01 07:56:49] ALLOWED | System Idle Process | 172.20.10.2:58273 -> 172.20.10.1:53
[2026-07-01 07:56:49] ALLOWED | ArmouryCrate.Service.exe | 127.0.0.1:50100 -> 127.0.0.1:56162
[2026-07-01 07:56:49] ALLOWED | python.exe | 127.0.0.1:52845 -> 127.0.0.1:52833
[2026-07-01 07:56:49] ALLOWED | System Idle Process | 172.20.10.2:64050 -> 172.20.10.1:53
[2026-07-01 07:56:49] ALLOWED | StartMenuExperienceHost.exe | 172.20.10.2:56186 -> 52.110.21.107:443
[2026-07-01 07:56:49] ALLOWED | chrome.exe | 172.20.10.2:65167 -> 142.250.29.19:443
[2026-07-01 07:56:49] ALLOWED | ArmouryCrate.UserSessionHelper.exe | 127.0.0.1:56162 -> 127.0.0.1:50100
[2026-07-01 07:56:49] ALLOWED | python.exe | 127.0.0.1:52832 -> 127.0.0.1:52847
[2026-07-01 07:56:49] ALLOWED | chrome.exe | 172.20.10.2:53401 -> 104.18.32.47:443
[2026-07-01 07:56:49] ALLOWED | Code.exe | 172.20.10.2:64783 -> 52.175.140.176:443
[2026-07-01 07:56:49] ALLOWED | System Idle Process | 172.20.10.2:60906 -> 172.20.10.1:53
[2026-07-01 07:56:49] ALLOWED | System Idle Process | 172.20.10.2:61478 -> 142.250.29.19:443
[2026-07-01 07:56:49] ALLOWED | System Idle Process | 172.20.10.2:62023 -> 142.250.182.101:443
[2026-07-01 07:56:49] ALLOWED | ROGLiveService.exe | 127.0.0.1:13030 -> 127.0.0.1:49669
[2026-07-01 07:56:50] ALLOWED | AcPowerNotification.exe | 127.0.0.1:52846 -> 127.0.0.1:1042
[2026-07-01 07:56:50] ALLOWED | ROGLiveService.exe | 127.0.0.1:49669 -> 127.0.0.1:13030
[2026-07-01 07:56:50] ALLOWED | python.exe | 127.0.0.1:52847 -> 127.0.0.1:52832
[2026-07-01 07:56:50] ALLOWED | chrome.exe | 172.20.10.2:56136 -> 172.64.148.235:443
[2026-07-01 07:56:50] ALLOWED | System Idle Process | 172.20.10.2:57342 -> 13.107.5.93:443
[2026-07-01 07:56:50] ALLOWED | System Idle Process | 172.20.10.2:55486 -> 142.250.29.19:443
[2026-07-01 07:56:50] ALLOWED | ArmouryCrate.Service.exe | 127.0.0.1:13031 -> 127.0.0.1:49682
[2026-07-01 07:56:50] ALLOWED | System Idle Process | 172.20.10.2:52033 -> 172.20.10.1:53
[2026-07-01 07:56:50] ALLOWED | python.exe | 127.0.0.1:52833 -> 127.0.0.1:52845
[2026-07-01 07:56:50] ALLOWED | svchost.exe | 172.20.10.2:52842 -> 92.223.76.254:80
[2026-07-01 07:56:50] ALLOWED | powershell.exe | 172.20.10.2:52835 -> 92.223.76.254:80
[2026-07-01 07:56:50] ALLOWED | System Idle Process | 172.20.10.2:62884 -> 172.20.10.1:53
[2026-07-01 07:56:50] ALLOWED | Code.exe | 172.20.10.2:49158 -> 20.42.65.93:443
[2026-07-01 07:56:50] ALLOWED | chrome.exe | 172.20.10.2:54016 -> 74.125.24.188:5228
[2026-07-01 07:56:50] ALLOWED | AuraWallpaperService.exe | 127.0.0.1:49682 -> 127.0.0.1:13031
[2026-07-01 07:56:53] ALLOWED | Code.exe | 172.20.10.2:52850 -> 40.79.189.59:443
[2026-07-01 07:56:59] ALLOWED | svchost.exe | 172.20.10.2:59497 -> 92.223.76.254:80
